t,r
2017-06-01,0.751818017
2017-06-02,0.338943684
2017-06-05,-0.077547533
2017-06-06,-0.280740302
2017-06-07,0.150538636
2017-06-08,0.029587501
2017-06-09,-0.106473736
2017-06-12,-0.071182727
2017-06-13,0.4451899
2017-06-14,-0.101676857
2017-06-15,-0.21887373
2017-06-16,0.021374636
2017-06-19,0.819061047
2017-06-20,-0.64945916
2017-06-21,-0.051301942
2017-06-22,-0.052149741
2017-06-23,0.142423564
2017-06-26,0.036496725
2017-06-27,-0.794035559
2017-06-28,0.853058243
2017-06-29,-0.850991918
2017-06-30,0.154027561
2017-07-03,0.226686437
2017-07-05,0.146454471
2017-07-06,-0.928422044
2017-07-07,0.61839279
2017-07-10,0.106745369
2017-07-11,-0.078708525
2017-07-12,0.729486518
2017-07-13,0.186445167
2017-07-14,0.455652211
2017-07-17,-0.008132991
2017-07-18,0.067483792
2017-07-19,0.519641717
2017-07-20,0.021424832
2017-07-21,-0.069141895
2017-07-24,-0.056238306
2017-07-25,0.254640246
2017-07-26,0.024621247
2017-07-27,-0.096501525
2017-07-28,-0.135420582
2017-07-31,-0.049767651
2017-08-01,0.214673474
2017-08-02,0.039569261
2017-08-03,-0.206497676
2017-08-04,0.174197412
2017-08-07,0.177119376
2017-08-08,-0.235286155
2017-08-09,-0.040413512
2017-08-10,-1.450696321
2017-08-11,0.12828633
2017-08-14,0.972555407
2017-08-15,-0.021095164
2017-08-16,0.138659726
2017-08-17,-1.548278942
2017-08-18,-0.195231312
2017-08-21,0.111254426
2017-08-22,0.994535633
2017-08-23,-0.345142719
2017-08-24,-0.20888891
2017-08-25,0.186382654
2017-08-28,0.022915414
2017-08-29,0.096923207
2017-08-30,0.448628766
2017-08-31,0.57536951
2017-09-01,0.191594945
2017-09-05,-0.746619982
2017-09-06,0.320083462
2017-09-07,-0.025958434
2017-09-08,-0.141267043
2017-09-11,1.062709257
2017-09-12,0.352676026
2017-09-13,0.054855845
2017-09-14,-0.077287339
2017-09-15,0.14411474
2017-09-18,0.172264643
2017-09-19,0.104173952
2017-09-20,0.053840526
2017-09-21,-0.287485025
2017-09-22,0.033982262
2017-09-25,-0.203265928
2017-09-26,0.022027093
2017-09-27,0.39845228
2017-09-28,0.107234769
2017-09-29,0.361517333
2017-10-02,0.404508377
2017-10-03,0.218016453
2017-10-04,0.120258432
2017-10-05,0.567791526
2017-10-06,-0.127423264
2017-10-09,-0.169626666
2017-10-10,0.242963885
2017-10-11,0.166084365
2017-10-12,-0.177061916
2017-10-13,0.121078436
2017-10-16,0.152217454
2017-10-17,0.074263718
2017-10-18,0.070694705
2017-10-19,0.044500309
2017-10-20,0.489365951
2017-10-23,-0.371184987
2017-10-24,0.153465666
2017-10-25,-0.472836255
2017-10-26,0.125058638
2017-10-27,0.804829405
2017-10-30,-0.324808534
2017-10-31,0.094407985
2017-11-01,0.162964436
2017-11-02,0.018219985
2017-11-03,0.310392187
2017-11-06,0.129367873
2017-11-07,-0.060222129
2017-11-08,0.182484971
2017-11-09,-0.372267319
2017-11-10,-0.089024108
2017-11-13,0.096761591
2017-11-14,-0.235487428
2017-11-15,-0.543968804
2017-11-16,0.808466462
2017-11-17,-0.267212093
2017-11-20,0.135244342
2017-11-21,0.655411012
2017-11-22,-0.082750715
2017-11-24,0.205019391
2017-11-27,-0.035357961
2017-11-28,0.985708251
2017-11-29,-0.048350838
2017-11-30,0.804070174
2017-12-01,-0.204954524
2017-12-04,-0.103771772
2017-12-05,-0.364051582
2017-12-06,-0.002281872
2017-12-07,0.293174045
2017-12-08,0.54494399
2017-12-11,0.318178407
2017-12-12,0.166029383
2017-12-13,-0.036037254
2017-12-14,-0.411594435
2017-12-15,0.856270212
2017-12-18,0.571384334
2017-12-19,-0.338783979
2017-12-20,-0.080583488
2017-12-21,0.205806652
2017-12-22,-0.046195056
2017-12-26,-0.120430956
2017-12-27,0.074214551
2017-12-28,0.18287703
2017-12-29,-0.425116801
2018-01-02,0.740546934
2018-01-03,0.624941944
2018-01-04,0.412021287
2018-01-05,0.677604059
